Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Publications	Geo_Location	Country	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	Type	Group	date	strain
OR714754.1	human papillomavirus 42	GenBank			Bravo,I.G., Bouzidi,S., Nicolas,A., Puech,J., Pere,H., Veyer,D., Touze,A., Kervarrec,T.	Centre National de la Recherche Scientifique, Virostyle team, Lab MIVEGEC	France	2025-01-20	22X0013	Alphapapillomavirus 1	Alphapapillomavirus	Papillomaviridae	dsDNA	7830	complete	NA	NA	United Kingdom	United Kingdom	Homo sapiens		2022			Human papillomavirus 42 isolate 22X0013, complete genome	HPV_42	Global	2022-07-01	OR714754_1|Global|HPV_42|22X0013|2022-07-01
OR714757.1	human papillomavirus 42	GenBank			Bravo,I.G., Bouzidi,S., Nicolas,A., Puech,J., Pere,H., Veyer,D., Touze,A., Kervarrec,T.	Centre National de la Recherche Scientifique, Virostyle team, Lab MIVEGEC	France	2025-01-20	20X00057	Alphapapillomavirus 1	Alphapapillomavirus	Papillomaviridae	dsDNA	7920	complete	NA	NA	France	France	Homo sapiens		2018			Human papillomavirus 42 isolate 20X00057, complete genome	HPV_42	Global	2018-07-01	OR714757_1|Global|HPV_42|20X00057|2018-07-01
OR714758.1	human papillomavirus 42	GenBank			Bravo,I.G., Bouzidi,S., Nicolas,A., Puech,J., Pere,H., Veyer,D., Touze,A., Kervarrec,T.	Centre National de la Recherche Scientifique, Virostyle team, Lab MIVEGEC	France	2025-01-20	20X00064	Alphapapillomavirus 1	Alphapapillomavirus	Papillomaviridae	dsDNA	7920	complete	NA	NA	France	France	Homo sapiens		2019			Human papillomavirus 42 isolate 20X00064, complete genome	HPV_42	Global	2019-07-01	OR714758_1|Global|HPV_42|20X00064|2019-07-01
OR714759.1	human papillomavirus 42	GenBank			Bravo,I.G., Bouzidi,S., Nicolas,A., Puech,J., Pere,H., Veyer,D., Touze,A., Kervarrec,T.	Centre National de la Recherche Scientifique, Virostyle team, Lab MIVEGEC	France	2025-01-20	20X00065	Alphapapillomavirus 1	Alphapapillomavirus	Papillomaviridae	dsDNA	7920	complete	NA	NA	France	France	Homo sapiens		2016			Human papillomavirus 42 isolate 20X00065, complete genome	HPV_42	Global	2016-07-01	OR714759_1|Global|HPV_42|20X00065|2016-07-01
OR714760.1	human papillomavirus 42	GenBank			Bravo,I.G., Bouzidi,S., Nicolas,A., Puech,J., Pere,H., Veyer,D., Touze,A., Kervarrec,T.	Centre National de la Recherche Scientifique, Virostyle team, Lab MIVEGEC	France	2025-01-20	20X00070	Alphapapillomavirus 1	Alphapapillomavirus	Papillomaviridae	dsDNA	7819	complete	NA	NA	France	France	Homo sapiens		2016			Human papillomavirus 42 isolate 20X00070, complete genome	HPV_42	Global	2016-07-01	OR714760_1|Global|HPV_42|20X00070|2016-07-01
OR714761.1	human papillomavirus 42	GenBank			Bravo,I.G., Bouzidi,S., Nicolas,A., Puech,J., Pere,H., Veyer,D., Touze,A., Kervarrec,T.	Centre National de la Recherche Scientifique, Virostyle team, Lab MIVEGEC	France	2025-01-20	20X00092	Alphapapillomavirus 1	Alphapapillomavirus	Papillomaviridae	dsDNA	7920	complete	NA	NA	France	France	Homo sapiens		2015			Human papillomavirus 42 isolate 20X00092, complete genome	HPV_42	Global	2015-07-01	OR714761_1|Global|HPV_42|20X00092|2015-07-01
OR714762.1	human papillomavirus 42	GenBank			Bravo,I.G., Bouzidi,S., Nicolas,A., Puech,J., Pere,H., Veyer,D., Touze,A., Kervarrec,T.	Centre National de la Recherche Scientifique, Virostyle team, Lab MIVEGEC	France	2025-01-20	20X00104	Alphapapillomavirus 1	Alphapapillomavirus	Papillomaviridae	dsDNA	7920	complete	NA	NA	France	France	Homo sapiens		2018			Human papillomavirus 42 isolate 20X00104, complete genome	HPV_42	Global	2018-07-01	OR714762_1|Global|HPV_42|20X00104|2018-07-01
OR714763.1	human papillomavirus 42	GenBank			Bravo,I.G., Bouzidi,S., Nicolas,A., Puech,J., Pere,H., Veyer,D., Touze,A., Kervarrec,T.	Centre National de la Recherche Scientifique, Virostyle team, Lab MIVEGEC	France	2025-01-20	20X00115	Alphapapillomavirus 1	Alphapapillomavirus	Papillomaviridae	dsDNA	7920	complete	NA	NA	France	France	Homo sapiens		2020			Human papillomavirus 42 isolate 20X00115, complete genome	HPV_42	Global	2020-07-01	OR714763_1|Global|HPV_42|20X00115|2020-07-01
OR714764.1	human papillomavirus 42	GenBank			Bravo,I.G., Bouzidi,S., Nicolas,A., Puech,J., Pere,H., Veyer,D., Touze,A., Kervarrec,T.	Centre National de la Recherche Scientifique, Virostyle team, Lab MIVEGEC	France	2025-01-20	20X00071	Alphapapillomavirus 1	Alphapapillomavirus	Papillomaviridae	dsDNA	7920	complete	NA	NA	France	France	Homo sapiens		2018			Human papillomavirus 42 isolate 20X00071, complete genome	HPV_42	Global	2018-07-01	OR714764_1|Global|HPV_42|20X00071|2018-07-01
PP715864.1	human papillomavirus 11	GenBank		SRR28741362,SRR28741361	Bouzidi,S., Rahmoun,M., Aussel,A., Pedergnana,V., team,V., Boulle,N., Costes,V., Bravo,I.G.	Institut de recherche pour le developpement (IRD), Perturbations, Evolution, Virulence (PEV)	France	2025-01-19	T1-A	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7933	complete	NA	NA	France	France	Homo sapiens	lesion_tumor	2007	SAMN41013900	PRJNA1102161	Human papillomavirus 11 isolate T1-A, complete genome	HPV_11	Global	2007-07-01	PP715864_1|Global|HPV_11|T1-A|2007-07-01
PP715865.1	human papillomavirus 11	GenBank		SRR28741350	Bouzidi,S., Rahmoun,M., Aussel,A., Pedergnana,V., team,V., Boulle,N., Costes,V., Bravo,I.G.	Institut de recherche pour le developpement (IRD), Perturbations, Evolution, Virulence (PEV)	France	2025-01-19	T1-D	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7933	complete	NA	NA	France	France	Homo sapiens	lesion_tumor	2018	SAMN41013902	PRJNA1102161	Human papillomavirus 11 isolate T1-D, complete genome	HPV_11	Global	2018-07-01	PP715865_1|Global|HPV_11|T1-D|2018-07-01
PP715866.1	human papillomavirus 11	GenBank		SRR28741343	Bouzidi,S., Rahmoun,M., Aussel,A., Pedergnana,V., team,V., Boulle,N., Costes,V., Bravo,I.G.	Institut de recherche pour le developpement (IRD), Perturbations, Evolution, Virulence (PEV)	France	2025-01-19	T1-E	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7933	complete	NA	NA	France	France	Homo sapiens		2018	SAMN41013903	PRJNA1102161	Human papillomavirus 11 isolate T1-E, complete genome	HPV_11	Global	2018-07-01	PP715866_1|Global|HPV_11|T1-E|2018-07-01
PP715867.1	human papillomavirus 11	GenBank		SRR28741342	Bouzidi,S., Rahmoun,M., Aussel,A., Pedergnana,V., team,V., Boulle,N., Costes,V., Bravo,I.G.	Institut de recherche pour le developpement (IRD), Perturbations, Evolution, Virulence (PEV)	France	2025-01-19	T2-B	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7933	complete	NA	NA	France	France	Homo sapiens	lesion_tumor	2016	SAMN41013904	PRJNA1102161	Human papillomavirus 11 isolate T2-B, complete genome	HPV_11	Global	2016-07-01	PP715867_1|Global|HPV_11|T2-B|2016-07-01
PP715868.1	human papillomavirus 11	GenBank		SRR28741341	Bouzidi,S., Rahmoun,M., Aussel,A., Pedergnana,V., team,V., Boulle,N., Costes,V., Bravo,I.G.	Institut de recherche pour le developpement (IRD), Perturbations, Evolution, Virulence (PEV)	France	2025-01-19	T2-C	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7933	complete	NA	NA	France	France	Homo sapiens		2018	SAMN41013905	PRJNA1102161	Human papillomavirus 11 isolate T2-C, complete genome	HPV_11	Global	2018-07-01	PP715868_1|Global|HPV_11|T2-C|2018-07-01
PP715869.1	human papillomavirus 11	GenBank		SRR28741340,SRR28741339	Bouzidi,S., Rahmoun,M., Aussel,A., Pedergnana,V., team,V., Boulle,N., Costes,V., Bravo,I.G.	Institut de recherche pour le developpement (IRD), Perturbations, Evolution, Virulence (PEV)	France	2025-01-19	T3-D	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7934	complete	NA	NA	France	France	Homo sapiens		2014	SAMN41013906	PRJNA1102161	Human papillomavirus 11 isolate T3-D, complete genome	HPV_11	Global	2014-07-01	PP715869_1|Global|HPV_11|T3-D|2014-07-01
PP715870.1	human papillomavirus 11	GenBank		SRR28741338,SRR28741337	Bouzidi,S., Rahmoun,M., Aussel,A., Pedergnana,V., team,V., Boulle,N., Costes,V., Bravo,I.G.	Institut de recherche pour le developpement (IRD), Perturbations, Evolution, Virulence (PEV)	France	2025-01-19	T3-E	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7934	complete	NA	NA	France	France	Homo sapiens	lesion_tumor	2015	SAMN41013908	PRJNA1102161	Human papillomavirus 11 isolate T3-E, complete genome	HPV_11	Global	2015-07-01	PP715870_1|Global|HPV_11|T3-E|2015-07-01
PP715871.1	human papillomavirus 11	GenBank		SRR28741360	Bouzidi,S., Rahmoun,M., Aussel,A., Pedergnana,V., team,V., Boulle,N., Costes,V., Bravo,I.G.	Institut de recherche pour le developpement (IRD), Perturbations, Evolution, Virulence (PEV)	France	2025-01-19	T4-A	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7932	complete	NA	NA	France	France	Homo sapiens	lesion_tumor	2005	SAMN41013910	PRJNA1102161	Human papillomavirus 11 isolate T4-A, complete genome	HPV_11	Global	2005-07-01	PP715871_1|Global|HPV_11|T4-A|2005-07-01
PP715873.1	Human papillomavirus type 6	GenBank		SRR28741359	Bouzidi,S., Rahmoun,M., Aussel,A., Pedergnana,V., team,V., Boulle,N., Costes,V., Bravo,I.G.	Institut de recherche pour le developpement (IRD), Perturbations, Evolution, Virulence (PEV)	France	2025-01-19	T5-A	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7996	complete	NA	NA	France	France	Homo sapiens	lesion_tumor	2012	SAMN41013911	PRJNA1102161	Human papillomavirus type 6 isolate T5-A, complete genome	HPV_6	Global	2012-07-01	PP715873_1|Global|HPV_6|T5-A|2012-07-01
PP715874.1	Human papillomavirus type 6	GenBank		SRR28741358	Bouzidi,S., Rahmoun,M., Aussel,A., Pedergnana,V., team,V., Boulle,N., Costes,V., Bravo,I.G.	Institut de recherche pour le developpement (IRD), Perturbations, Evolution, Virulence (PEV)	France	2025-01-19	T5-A_Capture	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7996	complete	NA	NA	France	France	Homo sapiens	lesion_tumor	2012	SAMN41013912	PRJNA1102161	Human papillomavirus type 6 isolate T5-A_Capture, complete genome	HPV_6	Global	2012-07-01	PP715874_1|Global|HPV_6|T5-A_Capture|2012-07-01
PP715875.1	human papillomavirus 11	GenBank		SRR28741357	Bouzidi,S., Rahmoun,M., Aussel,A., Pedergnana,V., team,V., Boulle,N., Costes,V., Bravo,I.G.	Institut de recherche pour le developpement (IRD), Perturbations, Evolution, Virulence (PEV)	France	2025-01-19	T5-B	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7934	complete	NA	NA	France	France	Homo sapiens		2012	SAMN41013913	PRJNA1102161	Human papillomavirus 11 isolate T5-B, complete genome	HPV_11	Global	2012-07-01	PP715875_1|Global|HPV_11|T5-B|2012-07-01
PP715876.1	human papillomavirus 11	GenBank		SRR28741356	Bouzidi,S., Rahmoun,M., Aussel,A., Pedergnana,V., team,V., Boulle,N., Costes,V., Bravo,I.G.	Institut de recherche pour le developpement (IRD), Perturbations, Evolution, Virulence (PEV)	France	2025-01-19	T5-C	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7934	complete	NA	NA	France	France	Homo sapiens		2012	SAMN41013914	PRJNA1102161	Human papillomavirus 11 isolate T5-C, complete genome	HPV_11	Global	2012-07-01	PP715876_1|Global|HPV_11|T5-C|2012-07-01
PP715877.1	human papillomavirus 11	GenBank		SRR28741355,SRR28741354	Bouzidi,S., Rahmoun,M., Aussel,A., Pedergnana,V., team,V., Boulle,N., Costes,V., Bravo,I.G.	Institut de recherche pour le developpement (IRD), Perturbations, Evolution, Virulence (PEV)	France	2025-01-19	R1-B	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7933	complete	NA	NA	France	France	Homo sapiens	lesion_tumor	2009	SAMN41013915	PRJNA1102161	Human papillomavirus 11 isolate R1-B, complete genome	HPV_11	Global	2009-07-01	PP715877_1|Global|HPV_11|R1-B|2009-07-01
PP715878.1	human papillomavirus 11	GenBank		SRR28741353,SRR28741352	Bouzidi,S., Rahmoun,M., Aussel,A., Pedergnana,V., team,V., Boulle,N., Costes,V., Bravo,I.G.	Institut de recherche pour le developpement (IRD), Perturbations, Evolution, Virulence (PEV)	France	2025-01-19	R1-C	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7933	complete	NA	NA	France	France	Homo sapiens	lesion_tumor	2010	SAMN41013917	PRJNA1102161	Human papillomavirus 11 isolate R1-C, complete genome	HPV_11	Global	2010-07-01	PP715878_1|Global|HPV_11|R1-C|2010-07-01
PP715879.1	Human papillomavirus type 6	GenBank		SRR28741351	Bouzidi,S., Rahmoun,M., Aussel,A., Pedergnana,V., team,V., Boulle,N., Costes,V., Bravo,I.G.	Institut de recherche pour le developpement (IRD), Perturbations, Evolution, Virulence (PEV)	France	2025-01-19	R2-A	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	8030	complete	NA	NA	France	France	Homo sapiens	lesion_tumor	2018	SAMN41013919	PRJNA1102161	Human papillomavirus type 6 isolate R2-A, complete genome	HPV_6	Global	2018-07-01	PP715879_1|Global|HPV_6|R2-A|2018-07-01
PP715880.1	Human papillomavirus type 6	GenBank		SRR28741349	Bouzidi,S., Rahmoun,M., Aussel,A., Pedergnana,V., team,V., Boulle,N., Costes,V., Bravo,I.G.	Institut de recherche pour le developpement (IRD), Perturbations, Evolution, Virulence (PEV)	France	2025-01-19	R2-B	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	8030	complete	NA	NA	France	France	Homo sapiens	lesion_tumor	2019	SAMN41013920	PRJNA1102161	Human papillomavirus type 6 isolate R2-B, complete genome	HPV_6	Global	2019-07-01	PP715880_1|Global|HPV_6|R2-B|2019-07-01
PP715881.1	Human papillomavirus type 6	GenBank		SRR28741348	Bouzidi,S., Rahmoun,M., Aussel,A., Pedergnana,V., team,V., Boulle,N., Costes,V., Bravo,I.G.	Institut de recherche pour le developpement (IRD), Perturbations, Evolution, Virulence (PEV)	France	2025-01-19	R3-A	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7996	complete	NA	NA	France	France	Homo sapiens	lesion_tumor	2020	SAMN41013921	PRJNA1102161	Human papillomavirus type 6 isolate R3-A, complete genome	HPV_6	Global	2020-07-01	PP715881_1|Global|HPV_6|R3-A|2020-07-01
PP715882.1	Human papillomavirus type 6	GenBank		SRR28741347	Bouzidi,S., Rahmoun,M., Aussel,A., Pedergnana,V., team,V., Boulle,N., Costes,V., Bravo,I.G.	Institut de recherche pour le developpement (IRD), Perturbations, Evolution, Virulence (PEV)	France	2025-01-19	R3-B	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7996	complete	NA	NA	France	France	Homo sapiens	lesion_tumor	2021	SAMN41013922	PRJNA1102161	Human papillomavirus type 6 isolate R3-B, complete genome	HPV_6	Global	2021-07-01	PP715882_1|Global|HPV_6|R3-B|2021-07-01
PP715884.1	Human papillomavirus type 6	GenBank		SRR28741346	Bouzidi,S., Rahmoun,M., Aussel,A., Pedergnana,V., team,V., Boulle,N., Costes,V., Bravo,I.G.	Institut de recherche pour le developpement (IRD), Perturbations, Evolution, Virulence (PEV)	France	2025-01-19	R4-A	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7996	complete	NA	NA	France	France	Homo sapiens	lesion_tumor	2018	SAMN41013923	PRJNA1102161	Human papillomavirus type 6 isolate R4-A, complete genome	HPV_6	Global	2018-07-01	PP715884_1|Global|HPV_6|R4-A|2018-07-01
PP715885.1	Human papillomavirus type 6	GenBank		SRR28741345	Bouzidi,S., Rahmoun,M., Aussel,A., Pedergnana,V., team,V., Boulle,N., Costes,V., Bravo,I.G.	Institut de recherche pour le developpement (IRD), Perturbations, Evolution, Virulence (PEV)	France	2025-01-19	R4-B	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7996	complete	NA	NA	France	France	Homo sapiens	lesion_tumor	2018	SAMN41013924	PRJNA1102161	Human papillomavirus type 6 isolate R4-B, complete genome	HPV_6	Global	2018-07-01	PP715885_1|Global|HPV_6|R4-B|2018-07-01
PP715886.1	Human papillomavirus type 6	GenBank		SRR28741344	Bouzidi,S., Rahmoun,M., Aussel,A., Pedergnana,V., team,V., Boulle,N., Costes,V., Bravo,I.G.	Institut de recherche pour le developpement (IRD), Perturbations, Evolution, Virulence (PEV)	France	2025-01-19	R4-B_Capture	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7996	complete	NA	NA	France	France	Homo sapiens	lesion_tumor	2018	SAMN41013925	PRJNA1102161	Human papillomavirus type 6 isolate R4-B_Capture, complete genome	HPV_6	Global	2018-07-01	PP715886_1|Global|HPV_6|R4-B_Capture|2018-07-01
OR997932.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN34	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7811	complete	NA	NA	China	China	Homo sapiens	cervix	2023-10			Human papillomavirus 51 isolate 51YN34, complete genome	HPV_51	Global	2023-10-15	OR997932_1|Global|HPV_51|51YN34|2023-10-15
OR997933.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN33	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7811	complete	NA	NA	China	China	Homo sapiens	cervix	2023-10			Human papillomavirus 51 isolate 51YN33, complete genome	HPV_51	Global	2023-10-15	OR997933_1|Global|HPV_51|51YN33|2023-10-15
OR997934.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN32	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7811	complete	NA	NA	China	China	Homo sapiens	cervix	2023-08			Human papillomavirus 51 isolate 51YN32, complete genome	HPV_51	Global	2023-08-15	OR997934_1|Global|HPV_51|51YN32|2023-08-15
OR997935.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN31	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7811	complete	NA	NA	China	China	Homo sapiens	cervix	2023-08			Human papillomavirus 51 isolate 51YN31, complete genome	HPV_51	Global	2023-08-15	OR997935_1|Global|HPV_51|51YN31|2023-08-15
OR997936.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN30	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7812	complete	NA	NA	China	China	Homo sapiens	cervix	2023-08			Human papillomavirus 51 isolate 51YN30, complete genome	HPV_51	Global	2023-08-15	OR997936_1|Global|HPV_51|51YN30|2023-08-15
OR997937.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN29	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7812	complete	NA	NA	China	China	Homo sapiens	cervix	2023-08			Human papillomavirus 51 isolate 51YN29, complete genome	HPV_51	Global	2023-08-15	OR997937_1|Global|HPV_51|51YN29|2023-08-15
OR997938.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN28	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7811	complete	NA	NA	China	China	Homo sapiens	cervix	2023-07			Human papillomavirus 51 isolate 51YN28, complete genome	HPV_51	Global	2023-07-15	OR997938_1|Global|HPV_51|51YN28|2023-07-15
OR997939.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN27	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7812	complete	NA	NA	China	China	Homo sapiens	cervix	2023-07			Human papillomavirus 51 isolate 51YN27, complete genome	HPV_51	Global	2023-07-15	OR997939_1|Global|HPV_51|51YN27|2023-07-15
OR997940.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN26	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7811	complete	NA	NA	China	China	Homo sapiens	cervix	2023-07			Human papillomavirus 51 isolate 51YN26, complete genome	HPV_51	Global	2023-07-15	OR997940_1|Global|HPV_51|51YN26|2023-07-15
